ID,Chromosome,Duplication Status,Ka,Ks,Ka/Ks,dSM, Expression Level,Tissue Specificity,Gene Length,Intron Number,Average Intron Length,5' UTR Length,3' UTR Length,Fop,GC Content,Multifunctionality,Recombination rate,Chromosome position
AT1G02430,1,Non WGDs,0.0611,0.0711,0.8593,0.665,41.41969267,0.3499602,1013,4,78.75,NA,125,0.416,43.80453752,3,NA,0.960239557
AT1G02630,1,Non WGDs,0.0134,0.1294,0.1036,0.076,101.0053212,0.188859165,1815,1,206,42,397,0.403,44.18803419,1,NA,0.954938683
AT1G02640,1,Non WGDs,0.0098,0.1174,0.0839,0.112,408.5293521,0.323724588,3565,4,245.25,88,189,0.446,49.45817078,1,NA,0.954598373
AT1G02650,1,Recent WGDs,0.0333,0.0781,0.4257,0.104,101.0053212,0.188859165,1715,2,86.5,NA,NA,0.432,46.95201038,3,NA,0.954307602
AT1G02660,1,Early WGDs,0.0262,0.1534,0.1707,0.013,334.7739426,0.323342801,3027,4,104.5,235,232,0.436,45.1914099,1,NA,0.953994287
AT1G02680,1,Singletons,0.0073,0.1076,0.0675,0.046,158.6415598,0.199874755,1686,5,155.8,135,391,0.459,44.61942257,3,NA,0.953349688
AT1G02730,1,Non WGDs,0.0093,0.1313,0.0711,0.043,375.8212755,0.316026077,4085,2,115.5,184,124,0.401,45.6570784,4,NA,0.952139631
AT1G02740,1,Non WGDs,0.0218,0.104,0.21,0.173,62.34295129,0.221019503,2623,9,144.8888889,17,318,0.395,42.98780488,1,NA,0.95179527
AT1G02750,1,Recent WGDs,0.0641,0.1312,0.4883,0.132,176.017266,0.145011116,1796,3,265.3333333,176,158,0.319,40.39039039,2,NA,0.951592625
AT1G02780,1,Recent WGDs,0.0114,0.0604,0.1884,0.252,9042.087457,0.085573674,1658,4,156.75,74,312,0.453,50.07751938,5,NA,0.951163266
AT1G02790,1,Non WGDs,0.0109,0.0811,0.1344,0.035,1587.403494,0.624793705,1934,3,92,99,290,0.449,46.17809299,1,NA,0.950946863
AT1G02800,1,Recent WGDs,0.0144,0.1161,0.1241,0.024,268.2997386,0.550842064,2976,7,173.1428571,88,170,0.482,47.27755644,2,NA,0.950682806
AT1G02810,1,Recent WGDs,0.0172,0.1928,0.0894,0.321,111.3589613,0.484667582,2216,1,310,19,147,0.466,46.89655172,1,NA,0.950316664
AT1G02813,1,Non WGDs,0.0357,0.1002,0.3565,NA,104.4330695,0.78768515,612,NA,NA,95,67,0.531,46.44444444,1,NA,0.950181166
AT1G02816,1,Non WGDs,0.0496,0.1558,0.3183,NA,493.6419956,0.287640493,1009,NA,NA,176,332,0.451,44.31137725,1,NA,0.950109806
AT1G02820,1,Non WGDs,0.0391,0.1126,0.3469,0.116,212.3316527,0.365329529,711,1,96,171,168,0.466,52.17391304,2,NA,0.949930787
AT1G02830,1,Non WGDs,0.0762,0.2289,0.3327,0.472,6.685602068,0.35843647,464,1,80,NA,NA,0.416,43.22916667,3,NA,0.949829865
AT1G02850,1,Early WGDs,0.0441,0.0963,0.4575,0.387,447.4211204,0.452276209,2755,11,86.45454545,64,174,0.365,43.99744572,1,NA,0.949312381
AT1G02860,1,Non WGDs,0.012,0.101,0.1184,0.148,197.6307252,0.264619671,2119,5,120.4,330,179,0.42,42.36111111,5,NA,0.948955264
AT1G02870,1,Singletons,0.0164,0.1163,0.1407,0.171,344.757279,0.198410178,1464,2,310.5,74,187,0.419,46.39175258,1,NA,0.948816998
AT1G02890,1,Recent WGDs,0.0282,0.0977,0.2884,0.196,426.9857788,0.188527931,6815,26,102.5769231,109,280,0.4,44.21388667,NA,NA,0.947968029
AT1G02900,1,Non WGDs,0.0639,0.0833,0.7669,0.067,511.6559427,0.482929605,579,NA,NA,5,211,0.496,47.38292011,1,NA,0.947520982
AT1G02950,1,Non WGDs,0.0195,0.0804,0.2421,0.033,72.14475091,0.325737116,1285,3,125,32,140,0.424,42.27642276,2,NA,0.9465818
AT1G03010,1,Early WGDs,0.0121,0.1245,0.0971,0.046,12.21205996,0.508819466,2903,4,201,NA,194,0.373,41.46981627,1,0.95,0.944257714
AT1G03020,1,Non WGDs,0.0132,0.1372,0.096,0.358,32.57376483,0.448139277,309,NA,NA,NA,NA,0.299,45.63106796,1,0.95,0.943974765
AT1G03040,1,Recent WGDs,0.0122,0.1326,0.0917,0.015,321.4032385,0.106693328,2726,5,254,174,373,0.412,48.62486249,3,0.95,0.943412636
AT1G03050,1,Recent WGDs,0.0162,0.1224,0.1324,0.086,162.9999813,0.757229748,2316,3,111.6666667,NA,181,0.405,45.55555556,5,0.95,0.943137869
AT1G03070,1,Recent WGDs,0.006,0.1485,0.0404,0.308,81.35036915,0.526985799,1623,4,151,97,178,0.401,45.96774194,1,0.97,0.94137531
AT1G03120,1,Non WGDs,0.0931,0.2064,0.4508,NA,101.0053212,0.188859165,870,1,321,NA,NA,0.376,53.73406193,3,0.98,0.939615038
AT1G03170,1,Recent WGDs,0.0474,0.1219,0.389,0.115,141.1540609,0.531322041,1053,NA,NA,173,157,0.463,44.95159059,1,0.99,0.938214288
AT1G03220,1,Non WGDs,0.0195,0.1732,0.1123,0.351,1756.602333,0.261332957,1530,NA,NA,21,207,0.511,51.15207373,2,1,0.936800142
AT1G03250,1,Singletons,0.0165,0.1515,0.1086,0.142,163.5585766,0.183405541,2016,6,141,209,223,0.366,45.52845528,1,1,0.93627275
AT1G03260,1,Non WGDs,0.0069,0.0785,0.0883,0.018,89.7306196,0.297869761,2932,8,200,361,146,0.393,44.60606061,NA,1.01,0.936070385
AT1G03270,1,Non WGDs,0.0083,0.1061,0.0783,0.121,95.6096918,0.369434364,3246,12,145.5,NA,NA,0.376,44.13333333,1,1.01,0.935755627
AT1G03280,1,Non WGDs,0.0199,0.1248,0.1592,0.012,306.2616077,0.097210433,4032,10,213.1,153,308,0.434,44.86111111,3,1.01,0.935404005
AT1G03290,1,Recent WGDs,0.0488,0.1187,0.4107,0.157,273.8173071,0.255816357,3295,8,179.375,134,10,0.405,41.02564103,1,1.01,0.935072801
AT1G03300,1,Non WGDs,0.1075,0.1907,0.5638,0.072,33.27916358,0.181484914,2054,1,41,NA,NA,0.413,43.4177844,1,1.01,0.934853429
AT1G03310,1,Non WGDs,0.0298,0.1286,0.2316,0.246,307.7433301,0.224521023,3279,1,347,157,126,0.379,42.31785579,2,1.02,0.934593544
AT1G03340,1,Recent WGDs,0.0509,0.1063,0.4784,NA,101.0053212,0.188859165,1656,4,89.5,50,90,0.374,42.57340242,1,1.02,0.934178746
AT1G03380,1,Non WGDs,0.0343,0.116,0.2959,0.075,142.8285673,0.21363682,5156,8,178,370,482,0.414,43.68055556,1,1.03,0.932751683
AT1G03390,1,Non WGDs,0.0246,0.1532,0.1607,NA,19.45814878,0.66430624,1386,NA,NA,NA,NA,0.348,42.85714286,1,1.03,0.932473587
AT1G03430,1,Non WGDs,0.017,0.1868,0.0907,0.476,154.1674437,0.147052819,1628,5,120.6,286,265,0.403,40.92827004,1,1.04,0.931914306
AT1G03440,1,Recent WGDs,0.0187,0.1876,0.0998,0.126,94.19783102,0.185670318,1667,NA,NA,315,158,0.483,50.50251256,1,1.04,0.931546841
AT1G03445,1,Recent WGDs,0.0722,0.1532,0.4713,0.297,11.20894292,0.521742974,5292,21,122.1428571,102,243,0.378,44.16456759,2,1.04,0.931235813
AT1G03457,1,Recent WGDs,0.0271,0.1152,0.2354,0.073,125.4624137,0.510861184,3288,8,199.25,56,321,0.37,44.49506454,1,1.04,0.930801762
AT1G03470,1,Non WGDs,0.0428,0.1608,0.2659,0.027,170.1745756,0.424156048,1819,2,286,135,302,0.399,42.34567901,1,1.05,0.930457521
AT1G03510,1,Non WGDs,0.0271,0.1716,0.1582,NA,13.94954802,0.273210564,1290,NA,NA,NA,NA,0.377,43.48837209,1,1.05,0.929651391
AT1G03520,1,Recent WGDs,0.0203,0.1593,0.1277,0.044,117.671022,0.268649941,2297,3,87.33333333,605,86,0.397,42.7827381,1,1.05,0.929503137
AT1G03540,1,Non WGDs,0.03,0.1796,0.1669,NA,19.68416197,0.183633212,1830,NA,NA,NA,NA,0.391,45.84699454,1,1.06,0.929026206
AT1G03550,1,Early WGDs,0.0065,0.0877,0.0742,0.059,149.4212857,0.375054377,2334,11,97.81818182,178,228,0.368,44.71830986,1,1.06,0.928856292
AT1G03590,1,Non WGDs,0.0134,0.1068,0.1253,0.069,314.9249097,0.219171954,2187,4,97.25,183,226,0.398,44.85241181,3,1.06,0.928171862
AT1G03620,1,Non WGDs,0.0087,0.0766,0.1134,0.059,65.63176991,0.582962892,1695,8,112.125,NA,NA,0.379,44.86215539,3,1.07,0.927384144
AT1G03630,1,Non WGDs,0.0067,0.1923,0.0348,0.002,1279.64662,0.226601562,1735,4,85.25,57,131,0.424,45.1907131,2,1.07,0.927118923
AT1G03680,1,Non WGDs,0.0386,0.1955,0.1974,NA,101.0053212,0.188859165,1246,1,336,199,171,0.515,48.14814815,3,1.08,0.926400478
AT1G03687,1,Singletons,0.0364,0.112,0.325,NA,63.156418,0.171187828,2209,7,121.8571429,9,201,0.429,47.03315881,1,1.08,0.926249617
AT1G03730,1,Recent WGDs,0.0001,0.0558,0.001,0.053,381.4560225,0.105072794,1068,NA,NA,375,189,0.404,46.62698413,1,1.08,0.925290019
AT1G03800,1,Non WGDs,0.1364,0.1976,0.6905,0.558,101.0053212,0.188859165,738,NA,NA,NA,NA,0.397,51.89701897,4,1.1,0.923175318
AT1G03810,1,Early WGDs,0.0626,0.2764,0.2266,0.698,101.0053212,0.188859165,851,1,419,NA,NA,0.5,47.91666667,1,1.1,0.92305061
AT1G03840,1,Recent WGDs,0.0273,0.1758,0.1553,0.025,13.6823747,0.509006292,2628,2,471,72,93,0.376,46.02235371,3,1.11,0.922277011
AT1G03870,1,Recent WGDs,0.0218,0.1288,0.1693,0.062,1638.643982,0.237419891,1035,NA,NA,172,119,0.446,48.79032258,NA,1.11,0.921140278
AT1G03890,1,Non WGDs,0.0244,0.1733,0.1406,0.027,1179.645517,0.779957827,1823,3,101,52,112,0.416,49.85250737,1,1.12,0.920572093
AT1G03920,1,Early WGDs,0.0158,0.1291,0.1222,0.003,65.35439637,0.608177409,3063,11,96.18181818,152,143,0.389,42.80701754,3,1.12,0.919547032
AT1G03950,1,Non WGDs,0.008,0.137,0.0582,0.633,212.976005,0.190564599,2194,10,119.2,153,216,0.457,44.70774092,2,1.13,0.918789438
AT1G03960,1,Recent WGDs,0.0266,0.144,0.1845,0.022,54.69730813,0.301941601,4215,12,157,370,371,0.374,41.94968553,1,1.13,0.918510379
AT1G03980,1,Recent WGDs,0.0203,0.1405,0.1448,0.2,14.63262943,0.245673673,3539,8,150.25,237,741,0.394,41.57468727,2,1.14,0.918124301
AT1G03990,1,Early WGDs,0.0354,0.1219,0.2907,0.148,71.27026294,0.589472713,2770,2,246.5,NA,NA,0.394,46.06938955,NA,1.14,0.917671798
AT1G04000,1,Recent WGDs,0.0865,0.081,1.069,0.014,163.8496371,0.220063468,1014,NA,NA,246,309,0.453,55.33769063,1,1.14,0.917478258
AT1G04030,1,Recent WGDs,0.0727,0.1485,0.4894,NA,44.24570382,0.332880448,2375,4,197.75,NA,327,0.454,42.16388226,1,1.15,0.916453679
AT1G04040,1,Recent WGDs,0.0264,0.1339,0.197,0.089,875.1889404,0.305675953,1503,2,220,45,202,0.437,47.05882353,1,1.15,0.916311201
AT1G04050,1,Recent WGDs,0.0699,0.1246,0.5608,0.24,42.6411615,0.290149391,3700,10,102.5,101,369,0.378,44.1723356,1,1.15,0.915959018
AT1G04070,1,Recent WGDs,0.0841,0.0863,0.9745,0.071,158.7279868,0.229028904,634,NA,NA,70,279,0.385,53.68421053,3,1.15,0.915686859
AT1G04100,1,Early WGDs,0.0539,0.1647,0.3276,0.121,81.9659432,0.271814614,1686,3,144,303,165,0.396,45.54707379,1,1.16,0.914929265
AT1G04110,1,Non WGDs,0.0124,0.1033,0.1198,0.026,46.27284107,0.484599275,2328,NA,NA,NA,NA,0.407,45.74742268,4,1.16,0.914752531
AT1G04120,1,Non WGDs,0.0097,0.1249,0.0777,0.028,556.1415243,0.241110147,6474,11,108.8181818,338,394,0.374,42.53025303,3,1.16,0.914351292
AT1G04140,1,Non WGDs,0.0191,0.0988,0.1937,0.02,355.6029709,0.12740568,5086,13,149.8461538,309,447,0.361,45.34005038,1,1.17,0.913506173
AT1G04170,1,Non WGDs,0.002,0.1338,0.0146,0.156,731.711662,0.124109473,2953,8,145,199,196,0.41,43.84835479,NA,1.18,0.911869124
AT1G04200,1,Singletons,0.0198,0.1467,0.1349,0.006,189.6726673,0.146392879,4626,17,117.7058824,194,232,0.355,42.24647567,3,1.19,0.910809126
AT1G04220,1,Recent WGDs,0.0092,0.1796,0.0512,0.135,431.979441,0.346062956,2828,1,1044,43,154,0.432,45.55765595,4,1.19,0.910055623
AT1G04230,1,Recent WGDs,0.0217,0.0752,0.2886,0.468,123.4411726,0.18466726,2651,7,182.1428571,58,340,0.363,44.88752556,1,1.2,0.909611664
AT1G04240,1,Non WGDs,0.0226,0.1321,0.1708,0.017,474.3842958,0.259150272,1364,2,93,232,376,0.378,40.1754386,1,1.2,0.909432003
AT1G04260,1,Non WGDs,0.0054,0.1623,0.0333,0.277,215.5064972,0.195054307,838,NA,NA,68,221,0.542,50.81967213,3,1.21,0.908462778
AT1G04280,1,Non WGDs,0.0254,0.2075,0.1225,0.576,101.0053212,0.188859165,3219,8,161.75,113,207,0.357,44.73520249,NA,1.21,0.908136347
AT1G04290,1,Non WGDs,0.0243,0.1525,0.1593,NA,240.0729983,0.307754167,1011,2,82,181,198,0.408,46.36752137,1,1.21,0.907900128
AT1G04310,1,Early WGDs,0.0232,0.1949,0.1191,0.3,239.3503582,0.39975554,2948,2,239,180,352,0.393,47.05882353,2,1.21,0.907251598
AT1G04330,1,Non WGDs,0.0186,0.1807,0.1031,0.332,12.71404314,0.48432079,672,NA,NA,96,273,0.372,54.45544554,1,1.22,0.906801181
AT1G04340,1,Recent WGDs,0.0177,0.0926,0.1915,0.519,434.9249609,0.119126008,1755,4,228.25,114,248,0.435,44.79166667,1,1.22,0.906616184
AT1G04350,1,Non WGDs,0.0368,0.1516,0.2431,0.497,391.0318305,0.261624563,1604,2,80,131,230,0.445,43.58264081,1,1.22,0.906465684
AT1G04360,1,Recent WGDs,0.0315,0.1911,0.1649,0.06,19.16665506,0.507749338,1422,NA,NA,226,50,0.448,45.81151832,NA,1.22,0.9062922
AT1G04380,1,Non WGDs,0.038,0.1224,0.3106,0.029,102.3797324,0.674115524,1487,2,102.5,23,221,0.426,43.93063584,1,1.23,0.905515352
AT1G04400,1,Non WGDs,0.0112,0.1092,0.1022,0.001,1193.5518,0.12390021,2968,4,131,436,169,0.403,44.58945079,5,1.23,0.904789567
AT1G04430,1,Early WGDs,0.0086,0.1527,0.0563,0.037,1535.804132,0.180441478,3410,7,147.2857143,281,226,0.396,44.07051282,1,1.24,0.903724956
AT1G04440,1,Recent WGDs,0.0143,0.1338,0.1072,0.164,334.6938256,0.151383639,3549,13,111,560,139,0.369,44.34968017,3,1.24,0.903391304
AT1G04445,1,Singletons,0.1073,0.129,0.8322,0.1,101.0053212,0.188859165,519,NA,NA,NA,NA,0.488,53.37186898,1,1.24,0.903121471
AT1G04450,1,Recent WGDs,0.0305,0.0724,0.4209,0.162,101.0053212,0.188859165,1143,3,105.3333333,143,21,0.394,45.70135747,7,1.25,0.902974942
